,final_score,aces,twos,threes,fours,fives,sixes,three_of_a_kind,four_of_a_kind,full_house,sm_straight,lg_straight,chance,yahtzee
67,338,0,110,9,8,0,6,0,0,25,30,40,25,50
68,171,2,8,9,4,15,18,0,0,25,30,40,20,0
69,185,2,4,6,16,15,12,18,0,25,30,40,17,0
70,181,3,4,9,12,15,18,0,0,25,30,40,25,0
71,166,3,6,9,4,10,18,0,22,0,30,40,24,0
72,121,2,6,3,8,10,24,15,0,0,30,0,23,0
73,147,3,0,9,4,25,18,21,21,0,30,0,16,0
74,205,1,6,9,16,10,24,0,27,25,30,0,22,0
75,181,1,6,9,16,15,12,0,0,25,30,40,27,0
76,234,2,2,9,12,20,18,0,23,25,30,40,18,0
77,395,1,6,3,8,125,18,6,26,25,30,40,22,50
78,200,0,6,9,12,15,18,27,0,25,30,40,18,0
79,207,2,2,9,12,25,12,0,29,25,30,40,21,0
80,227,1,6,12,16,15,24,20,0,0,30,0,18,50
81,212,1,4,9,16,15,18,21,0,0,30,40,23,0
82,145,2,6,9,12,15,0,25,0,25,30,0,21,0
83,234,3,6,15,12,15,18,15,0,25,30,40,20,0
84,196,2,6,9,12,15,18,21,0,25,30,40,18,0
85,86,1,6,3,12,10,18,17,0,0,0,0,19,0
86,185,1,6,9,12,10,6,21,0,25,30,40,25,0
87,230,1,6,12,4,20,18,0,0,25,30,40,24,50
88,216,1,6,12,12,15,18,27,17,25,30,0,18,0
89,138,1,4,6,12,15,18,6,0,25,30,0,21,0
90,219,1,0,12,16,20,24,0,24,0,30,40,17,0
91,342,1,100,12,16,10,6,0,0,25,30,40,17,50
92,215,3,8,12,12,15,18,0,0,25,30,40,17,0
93,408,3,4,9,4,10,130,26,21,25,30,40,21,50
94,196,2,4,9,12,15,12,24,29,0,30,40,19,0
95,169,4,6,9,12,10,12,24,0,0,30,40,22,0
96,188,2,6,6,8,15,12,22,0,25,30,40,22,0
97,133,2,6,9,16,10,18,0,0,25,30,0,17,0
98,326,0,110,9,12,20,18,0,0,25,30,0,17,50
99,267,3,10,9,16,15,18,28,19,25,30,40,19,0
