,final_score,aces,twos,threes,fours,fives,sixes,three_of_a_kind,four_of_a_kind,full_house,sm_straight,lg_straight,chance,yahtzee
88,235,0,6,12,12,15,18,13,29,0,30,40,25,0
89,205,3,2,12,12,15,18,20,29,0,30,40,24,0
90,264,1,6,9,16,15,18,28,18,25,30,40,23,0
91,152,2,4,6,12,15,18,22,0,25,30,0,18,0
92,315,100,8,9,12,5,18,0,0,25,30,0,23,50
93,197,4,6,6,8,15,18,26,0,25,30,40,19,0
94,234,1,4,6,12,25,18,21,0,25,30,40,17,0
95,254,2,6,6,0,20,12,25,17,25,30,40,21,50
96,220,3,8,9,12,10,18,18,26,25,30,40,21,0
97,173,0,6,9,8,15,18,20,0,0,30,0,17,50
98,201,3,2,9,12,15,18,0,25,25,30,40,22,0
99,259,3,6,12,12,15,18,23,18,25,30,40,22,0
