,final_score,aces,twos,threes,fours,fives,sixes,three_of_a_kind,four_of_a_kind,full_house,sm_straight,lg_straight,chance,yahtzee
98,218,1,4,6,8,10,18,9,25,0,30,40,17,50
99,187,1,2,3,12,10,12,28,0,25,30,40,24,0
100,179,1,2,3,8,5,12,18,18,25,30,40,17,0
101,360,100,2,3,4,15,12,25,0,25,30,40,19,50
102,174,0,2,6,8,15,12,22,0,25,30,40,14,0
103,205,1,2,3,4,5,12,23,26,25,30,0,24,50
104,259,4,4,6,8,10,12,25,26,25,30,40,19,50
105,230,1,4,9,12,10,6,17,0,25,30,40,26,50
106,186,4,4,6,8,5,12,16,13,25,30,40,23,0
107,229,0,2,3,8,5,12,15,17,25,30,40,22,50
108,227,1,4,9,12,20,12,26,23,25,30,40,25,0
109,181,0,4,6,8,15,6,26,0,25,30,40,21,0
110,200,0,2,9,12,15,18,28,0,25,30,40,21,0
111,198,2,4,6,4,10,18,17,22,25,30,40,20,0
112,258,3,4,12,16,10,12,20,17,25,30,40,19,50
113,397,0,4,6,120,5,12,26,22,25,30,40,22,50
114,186,0,6,6,4,10,12,19,11,25,30,40,23,0
115,215,3,2,9,12,10,12,27,24,25,30,40,21,0
116,150,0,6,3,8,5,12,22,18,25,30,0,21,0
117,280,4,6,9,8,15,18,26,24,25,30,40,25,50
118,174,1,4,3,8,5,12,28,0,25,30,40,18,0
119,243,1,6,9,4,15,12,11,14,25,30,40,26,50
120,215,0,8,12,8,10,18,17,26,25,30,40,21,0
121,171,2,4,9,8,5,12,17,0,25,30,40,19,0
122,201,1,4,3,8,10,18,27,17,25,30,40,18,0
123,250,0,4,3,12,10,12,23,23,25,30,40,18,50
124,194,2,2,9,8,10,6,27,18,25,30,40,17,0
125,259,3,6,9,12,10,12,16,21,25,30,40,25,50
126,221,2,6,6,12,10,18,24,0,0,30,40,23,50
127,176,2,4,0,8,15,12,19,0,25,30,40,21,0
128,197,0,4,9,12,15,12,23,0,25,30,40,27,0
129,208,1,4,9,8,20,12,27,10,25,30,40,22,0
130,217,0,6,6,12,15,18,27,14,25,30,40,24,0
131,234,0,4,6,12,10,12,22,0,25,30,40,23,50
132,209,0,4,9,4,15,12,18,25,25,30,40,27,0
133,188,2,2,6,4,10,6,24,17,25,30,40,22,0
134,198,0,4,6,0,10,6,28,0,0,30,40,24,50
135,240,4,2,3,4,10,12,27,8,25,30,40,25,50
136,218,0,8,9,8,10,6,29,27,25,30,40,26,0
137,216,4,4,9,8,15,12,25,27,25,30,40,17,0
138,206,2,4,9,8,10,18,27,13,25,30,40,20,0
139,173,0,0,3,8,5,18,26,0,25,30,40,18,0
140,204,1,6,6,12,10,12,19,23,25,30,40,20,0
141,255,1,6,6,12,10,18,27,13,25,30,40,17,50
142,185,3,2,3,12,10,12,26,0,25,30,40,22,0
143,147,1,4,3,4,10,12,15,26,25,30,0,17,0
144,357,100,2,6,0,5,6,27,8,25,30,40,23,50
145,250,3,6,6,16,20,12,27,8,25,30,40,22,0
146,227,2,4,6,8,10,12,23,0,25,30,40,17,50
147,165,1,2,6,8,10,12,24,17,0,30,40,15,0
148,366,3,110,0,8,15,12,12,7,25,30,40,19,50
149,183,3,2,9,8,10,12,24,0,25,30,40,20,0
150,152,1,2,6,8,5,6,12,0,25,30,40,17,0
151,196,2,6,3,8,10,12,20,25,25,30,40,15,0
152,197,0,6,9,4,5,6,26,27,25,30,40,19,0
153,235,2,4,6,4,5,12,18,16,25,30,40,23,50
154,199,2,4,3,8,15,12,21,21,25,30,40,18,0
155,209,2,4,9,8,20,12,22,17,25,30,40,20,0
156,170,3,6,3,8,5,12,18,0,25,30,40,20,0
157,176,0,2,9,8,10,12,21,0,25,30,40,19,0
158,252,4,8,9,8,5,12,19,21,25,30,40,21,50
159,211,3,4,9,8,10,6,27,26,25,30,40,23,0
160,190,1,0,9,8,5,12,25,0,25,30,0,25,50
161,184,1,2,6,8,5,12,24,0,25,30,0,21,50
162,268,1,6,9,16,15,24,22,21,25,30,40,24,0
163,233,2,6,9,8,15,18,28,29,25,30,40,23,0
164,414,0,6,3,12,10,130,28,22,25,30,40,23,50
165,230,0,4,3,8,10,6,28,0,25,30,40,26,50
166,174,1,2,3,8,10,6,23,0,25,30,40,26,0
167,261,0,2,6,4,10,18,27,24,25,30,40,25,50
168,224,0,2,6,8,10,6,27,22,0,30,40,23,50
169,202,0,4,6,8,10,6,28,22,25,30,40,23,0
170,236,1,4,6,8,10,12,13,13,25,30,40,24,50
171,172,1,4,3,4,10,12,23,0,25,30,40,20,0
172,266,4,2,9,4,15,12,23,29,25,30,40,23,50
173,217,4,6,3,12,20,6,21,28,25,30,40,22,0
174,184,2,4,6,12,5,12,22,8,25,30,40,18,0
175,195,3,2,3,8,10,12,18,21,25,30,40,23,0
176,196,0,2,12,12,15,12,14,18,25,30,40,16,0
177,346,2,2,6,4,5,12,24,125,25,30,40,21,50
178,258,3,6,9,4,10,12,26,18,25,30,40,25,50
179,215,0,8,9,16,10,12,24,18,25,30,40,23,0
180,139,1,6,6,4,5,12,28,0,25,30,0,22,0
181,183,1,0,3,8,10,18,23,0,25,30,40,25,0
182,350,2,2,3,4,10,130,11,22,25,30,0,26,50
183,152,0,2,6,8,10,12,0,0,25,30,40,19,0
184,196,3,6,6,8,10,12,22,18,25,30,40,16,0
185,232,3,2,3,8,5,12,19,13,25,30,40,22,50
186,203,1,4,6,12,10,12,26,13,25,30,40,24,0
187,380,0,100,6,4,5,12,23,27,25,30,40,23,50
188,225,1,0,9,4,10,12,27,0,25,30,40,17,50
189,205,1,2,3,16,10,18,27,14,25,30,40,19,0
190,215,0,2,3,12,15,12,21,29,25,30,40,26,0
191,176,1,4,3,12,15,18,29,24,25,30,0,15,0
192,340,2,4,9,8,15,18,25,21,100,30,40,18,50
193,171,0,2,6,12,5,6,27,0,25,30,40,18,0
194,389,0,2,9,8,15,130,20,0,25,30,40,25,50
195,118,1,2,6,8,10,6,20,16,0,30,0,19,0
196,272,0,8,9,12,15,12,27,21,25,30,40,23,50
197,212,2,4,9,4,15,12,26,22,25,30,40,23,0
198,214,4,6,9,12,15,12,18,21,25,30,40,22,0
199,394,2,110,6,12,10,6,27,17,25,30,40,24,50
200,240,1,2,9,8,10,18,24,9,25,30,40,14,50
201,256,2,6,9,12,10,12,14,23,25,30,40,23,50
202,195,4,2,9,8,10,12,18,17,25,30,40,20,0
203,159,1,0,3,16,10,12,28,17,25,30,0,17,0
204,210,2,4,6,16,15,12,26,13,25,30,40,21,0
205,385,100,6,9,8,15,12,22,13,25,30,40,20,50
206,202,0,2,12,8,15,12,19,18,25,30,40,21,0
207,168,1,4,3,4,10,12,22,0,25,30,40,17,0
208,394,1,110,6,12,5,18,26,13,25,30,40,23,50
209,220,4,4,9,8,15,12,27,21,25,30,40,25,0
210,217,3,4,6,12,15,6,27,28,25,30,40,21,0
211,164,1,6,3,4,5,12,22,0,25,30,40,16,0
212,186,0,6,6,4,10,12,27,0,25,30,40,26,0
213,394,100,8,9,8,10,12,23,21,25,30,40,23,50
214,214,3,4,6,12,10,12,25,25,25,30,40,22,0
215,175,1,6,6,8,15,12,18,0,25,30,40,14,0
216,180,0,2,9,8,5,18,22,0,25,30,40,21,0
217,188,1,6,6,8,15,18,17,0,25,30,40,22,0
218,379,1,110,6,4,5,18,15,19,25,30,40,21,50
219,183,0,6,6,4,10,6,21,14,25,30,40,21,0
220,162,1,4,6,12,0,12,10,0,25,30,40,22,0
221,186,0,2,6,4,15,12,27,0,25,30,40,25,0
222,213,0,8,6,8,10,12,28,21,25,30,40,25,0
223,217,3,2,3,12,15,24,16,24,25,30,40,23,0
224,184,1,2,3,8,10,18,15,9,25,30,40,23,0
225,160,2,0,6,4,10,6,19,0,25,30,40,18,0
226,209,3,6,3,8,15,12,17,25,25,30,40,25,0
227,186,1,6,6,16,10,18,25,27,25,30,0,22,0
228,209,0,6,6,16,10,12,27,23,25,30,40,14,0
229,215,1,4,6,12,20,12,22,26,25,30,40,17,0
230,185,2,4,6,8,15,12,14,7,25,30,40,22,0
231,224,1,6,9,12,20,12,27,18,25,30,40,24,0
232,208,3,6,6,8,10,18,16,21,25,30,40,25,0
233,168,0,2,6,8,5,6,27,0,25,30,40,19,0
234,212,0,4,6,8,15,18,21,27,25,30,40,18,0
235,263,0,6,6,8,15,12,22,27,25,30,40,22,50
236,394,100,4,6,12,10,12,27,24,25,30,40,19,50
237,220,0,6,9,4,10,6,24,0,25,30,40,16,50
238,201,1,8,3,12,10,12,20,19,25,30,40,21,0
239,220,4,4,6,8,10,18,29,25,25,30,40,21,0
240,207,2,8,6,8,15,12,22,18,25,30,40,21,0
241,211,1,8,12,12,10,12,26,13,25,30,40,22,0
242,218,1,4,6,12,5,18,29,27,25,30,40,21,0
243,224,3,2,12,16,10,18,23,26,25,30,40,19,0
244,190,3,6,6,12,10,6,18,14,25,30,40,20,0
245,170,0,2,6,8,15,6,13,9,25,30,40,16,0
246,218,1,4,9,4,15,18,20,26,25,30,40,26,0
247,372,1,0,6,120,5,6,25,11,25,30,40,18,50
248,250,2,2,3,12,15,18,18,11,25,30,40,24,50
249,233,0,6,6,4,15,6,25,0,25,30,40,26,50
250,204,3,8,9,8,10,12,28,13,25,30,40,18,0
251,264,2,2,9,12,15,12,29,14,25,30,40,24,50
252,259,1,4,9,8,10,12,22,26,25,30,40,22,50
253,266,2,2,6,12,10,12,25,29,25,30,40,23,50
254,170,0,6,3,12,10,12,25,22,25,30,0,25,0
255,196,0,2,6,8,10,18,27,8,25,30,40,22,0
256,186,3,4,9,8,5,12,28,0,25,30,40,22,0
257,217,2,4,6,16,10,12,28,18,25,30,40,26,0
258,201,0,6,9,12,10,12,20,18,25,30,40,19,0
259,180,1,0,9,8,10,12,25,0,25,30,40,20,0
260,182,1,2,6,4,15,12,21,0,25,30,40,26,0
261,251,0,6,3,12,10,12,29,12,25,30,40,22,50
262,206,0,4,6,4,15,18,27,13,25,30,40,24,0
263,196,2,2,6,4,15,12,23,18,25,30,40,19,0
264,207,2,6,9,8,10,12,27,13,25,30,40,25,0
265,256,1,4,9,8,10,24,21,14,25,30,40,20,50
266,201,0,4,3,8,15,12,21,16,25,30,40,27,0
267,256,0,4,6,4,5,12,27,29,25,30,40,24,50
268,441,100,0,100,8,10,12,16,22,0,30,40,18,50
269,206,3,2,3,8,10,12,23,28,25,30,40,22,0
270,260,3,4,0,12,15,12,25,27,25,30,40,17,50
271,320,100,0,3,8,15,12,19,0,25,30,0,23,50
272,187,1,2,3,12,10,12,26,0,25,30,40,26,0
273,247,0,2,9,8,5,18,28,13,25,30,40,19,50
274,236,2,2,6,8,5,6,26,11,25,30,40,25,50
275,204,0,6,9,8,10,12,25,18,25,30,40,21,0
276,176,1,6,6,12,10,12,13,0,25,30,40,21,0
277,211,3,6,9,8,10,18,15,24,25,30,40,23,0
278,203,4,4,9,8,10,12,22,21,25,30,40,18,0
279,245,3,6,9,12,15,24,23,26,0,30,40,22,0
280,126,0,4,3,4,15,6,21,0,25,30,0,18,0
281,411,0,6,6,12,10,130,18,27,25,30,40,22,50
282,183,0,2,9,8,5,12,22,12,25,30,40,18,0
283,260,0,4,12,8,15,6,23,22,25,30,40,25,50
284,229,0,2,9,16,20,6,25,28,25,30,40,28,0
285,261,2,8,9,12,20,18,21,19,25,30,40,22,0
286,183,1,4,3,8,10,18,23,0,25,30,40,21,0
287,216,0,4,3,8,15,12,27,26,25,30,40,26,0
288,191,2,0,9,8,10,12,15,18,25,30,40,22,0
289,182,2,4,12,12,20,12,21,7,0,30,40,22,0
290,185,3,4,3,4,5,6,24,17,25,30,40,24,0
291,278,3,6,9,16,15,12,25,22,25,30,40,25,50
292,207,1,6,6,8,10,12,27,19,25,30,40,23,0
293,381,105,4,3,8,5,6,24,22,25,30,40,24,50
294,164,0,2,6,8,10,12,23,25,25,30,0,23,0
295,211,3,2,3,8,15,12,24,27,25,30,40,22,0
296,259,1,6,9,8,10,12,22,27,25,30,40,19,50
297,164,0,4,6,8,10,12,21,22,25,30,0,26,0
298,198,2,4,6,8,10,12,19,25,25,30,40,17,0
299,203,0,6,6,4,10,18,19,28,25,30,40,17,0
300,254,3,4,9,12,15,12,26,6,25,30,40,22,50
301,202,2,8,9,8,15,12,13,14,25,30,40,26,0
302,198,1,2,9,12,15,12,27,0,25,30,40,25,0
303,181,0,4,6,8,10,6,18,13,25,30,40,21,0
304,215,0,6,9,8,15,18,28,17,25,30,40,19,0
305,274,0,4,3,16,20,12,25,26,25,30,40,23,50
306,355,100,4,3,4,10,12,21,0,25,30,40,21,50
307,198,1,6,9,12,10,18,29,0,25,30,40,18,0
308,374,1,110,12,4,15,12,21,23,0,30,40,21,50
309,180,0,0,3,8,10,18,27,0,25,30,40,19,0
310,183,0,4,6,12,10,12,21,0,25,30,40,23,0
311,198,3,4,9,4,10,18,23,10,25,30,40,22,0
312,181,0,6,6,4,10,6,25,13,25,30,40,16,0
313,208,1,2,6,8,15,12,22,25,25,30,40,22,0
314,192,4,0,6,12,10,12,26,6,25,30,40,21,0
315,215,4,4,9,16,10,6,26,19,25,30,40,26,0
316,193,2,4,3,4,10,6,21,29,25,30,40,19,0
317,268,3,8,9,8,10,24,21,24,25,30,40,16,50
318,235,3,6,6,12,5,12,13,9,25,30,40,24,50
319,253,3,2,6,12,20,12,22,11,25,30,40,20,50
320,210,2,2,12,12,5,18,11,26,25,30,40,27,0
321,210,3,6,3,8,10,12,25,26,25,30,40,22,0
322,188,3,4,6,4,15,18,19,0,25,30,40,24,0
323,209,1,4,6,12,15,18,23,9,25,30,40,26,0
324,473,4,8,6,12,10,130,20,125,25,30,0,18,50
325,227,1,6,9,12,10,18,25,28,25,30,40,23,0
326,260,2,2,3,12,10,12,26,27,25,30,40,21,50
327,176,0,2,6,12,5,12,26,0,25,30,40,18,0
328,189,1,6,6,12,10,12,25,0,25,30,40,22,0
329,184,1,4,6,4,10,12,27,0,25,30,40,25,0
330,248,0,2,12,12,10,18,9,16,25,30,40,24,50
331,208,2,6,6,12,15,12,22,16,25,30,40,22,0
332,260,0,4,9,4,15,12,29,21,25,30,40,21,50
333,210,0,4,6,12,10,18,18,29,25,30,40,18,0
334,216,0,4,9,8,10,18,24,25,25,30,40,23,0
335,188,1,2,3,8,15,18,25,0,25,30,40,21,0
336,197,1,0,6,16,10,6,22,22,25,30,40,19,0
337,215,0,6,12,8,10,18,24,25,25,30,40,17,0
338,174,0,6,9,8,5,12,22,0,25,30,40,17,0
339,237,3,2,6,12,10,6,25,6,25,30,40,22,50
340,226,3,4,6,8,15,12,27,28,25,30,40,28,0
341,421,3,4,9,8,10,130,26,27,25,30,40,24,50
342,205,4,4,6,8,10,12,24,22,25,30,40,20,0
343,169,1,2,3,8,5,12,20,0,25,30,40,23,0
344,196,0,6,6,8,10,12,23,13,25,30,40,23,0
345,208,2,4,9,12,5,12,22,22,25,30,40,25,0
346,209,2,6,6,8,5,12,27,26,25,30,40,22,0
347,246,1,6,0,12,10,6,26,14,25,30,40,26,50
348,270,3,4,6,12,20,18,26,25,25,30,40,26,0
349,237,3,4,6,8,15,24,27,28,25,30,40,27,0
350,211,0,8,6,12,15,18,25,11,25,30,40,21,0
351,218,0,0,9,12,20,12,27,22,25,30,40,21,0
352,181,2,2,9,4,5,12,27,0,25,30,40,25,0
353,252,0,4,6,12,10,18,16,18,25,30,40,23,50
354,222,2,4,9,8,15,12,27,24,25,30,40,26,0
355,208,2,2,6,8,10,12,28,24,25,30,40,21,0
356,210,0,8,12,12,10,6,24,17,25,30,40,26,0
357,270,2,6,6,8,10,12,28,29,25,30,40,24,50
358,391,1,2,6,8,10,130,19,17,25,30,40,18,50
359,190,0,4,9,12,10,18,22,0,25,30,40,20,0
360,141,1,2,9,4,10,18,23,0,25,30,0,19,0
361,192,0,4,6,12,5,12,19,21,25,30,40,18,0
362,412,1,110,9,12,15,12,28,26,25,30,40,19,50
363,262,1,2,12,16,5,12,25,24,25,30,40,20,50
364,222,0,6,6,12,5,24,25,21,25,30,40,28,0
365,212,1,8,6,12,5,18,23,19,25,30,40,25,0
366,198,3,2,9,12,5,12,20,18,25,30,40,22,0
367,227,1,4,12,12,15,12,26,28,25,30,40,22,0
368,213,1,6,6,12,15,18,26,14,25,30,40,20,0
369,253,1,4,3,8,15,12,23,17,25,30,40,25,50
370,188,2,4,9,4,10,12,27,0,25,30,40,25,0
371,211,0,6,9,8,10,12,18,27,25,30,40,26,0
372,191,0,6,6,4,5,18,22,14,25,30,40,21,0
373,232,0,4,3,8,15,12,25,0,25,30,40,20,50
374,220,0,6,9,12,10,18,23,23,25,30,40,24,0
375,219,1,2,3,8,10,6,19,0,25,30,40,25,50
376,391,4,6,3,120,5,12,22,14,25,30,40,25,50
377,196,1,4,6,8,5,12,27,13,25,30,40,25,0
378,124,1,4,6,0,5,12,24,0,25,30,0,17,0
379,187,0,0,9,4,5,18,25,7,25,30,40,24,0
380,198,3,4,3,4,10,12,23,19,25,30,40,25,0
381,199,4,4,12,8,10,6,25,14,25,30,40,21,0
382,187,1,4,6,12,10,6,25,9,25,30,40,19,0
383,218,3,6,6,4,15,18,24,29,25,30,40,18,0
384,213,4,6,6,12,15,12,24,18,25,30,40,21,0
385,212,1,4,9,8,10,12,25,28,25,30,40,20,0
386,171,1,6,3,12,10,6,19,22,0,30,40,22,0
387,216,1,4,9,8,15,18,27,22,25,30,40,17,0
388,203,2,4,9,4,10,12,19,27,25,30,40,21,0
389,267,1,4,3,12,10,18,25,23,25,30,40,26,50
390,188,0,4,9,8,15,12,24,0,25,30,40,21,0
391,213,0,2,9,8,10,12,25,28,25,30,40,24,0
392,208,0,6,6,12,10,18,25,18,25,30,40,18,0
393,374,2,4,115,8,10,6,16,16,25,30,40,17,50
394,270,0,4,9,16,20,18,27,24,25,30,40,22,0
395,210,4,6,9,8,10,12,18,26,25,30,40,22,0
396,181,0,2,6,12,15,12,20,0,25,30,40,19,0
397,219,0,8,6,8,10,18,28,27,25,30,40,19,0
398,192,3,4,6,12,10,12,23,9,25,30,40,18,0
399,172,1,4,9,12,10,12,13,0,25,30,40,16,0
